3.122.235.189:8382 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 92ms
18.171.154.115:8004 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 132ms
18.171.154.115:55126 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 140ms
18.171.154.115:4139 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 140ms
18.171.154.115:170 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 140ms
18.171.154.115:2019 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 143ms
18.171.154.115:58208 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 144ms
18.171.154.115:8443 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 145ms
18.171.154.115:10003 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 148ms
18.171.154.115:8182 | 0.0 Mbps (0.0/0.0/0.0/0.0) | 149ms
